Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1539100,Patchwork City Farms,902 Pinehurst Ter SW,,Atlanta,GA,30310,3216,FULTON,Farmers and Markets,33.730774,-84.431526,,,-9398874.481219038,3992708.587130397
1540105,Boulevard Lotto Grocery,371 Boulevard Ne,,Atlanta,GA,30312,    ,FULTON,Convenience Store,33.764538,-84.371666,,,-9392210.896500153,3997228.8829984865
1543161,Porky Pig Market Company,209 Edgewood Ave Se,Ste 122,Atlanta,GA,30303,3012,FULTON,Specialty Store,33.754051,-84.379875,,,-9393124.718200075,3995824.70171259
1546204,Gateway Newstand,33 Marietta St NW,,Atlanta,GA,30303,2801,FULTON,Convenience Store,33.755173,-84.390434,,,-9394300.140703361,3995974.9263092973
1546481,Publix Super Market 1825,572 Hank Aaron Dr SE,,Atlanta,GA,30312,2896,FULTON,Supermarket,33.739449,-84.387733,,,-9393999.466758728,3993869.8189534107
1552788,Welcome Foods Mcdaniel,1003 McDaniel St SW,,Atlanta,GA,30310,3115,FULTON,Convenience Store,33.72757,-84.401932,,,-9395580.092208501,3992279.7307352535
1553767,Retaaza 1,970 Jefferson St NW,,Atlanta,GA,30318,5498,FULTON,Other,33.775246,-84.418808,,,-9397458.719935128,3998662.832898759
1555981,Reynoldstown Farmers Market,100 Flat Shoals Ave SE,,Atlanta,GA,30316,1337,FULTON,Farmers and Markets,33.751526,-84.355293,,,-9390388.262477396,3995486.6366151595
1563148,Sweet Auburn Grocery,200 Auburn Ave NE,,Atlanta,GA,30303,2602,FULTON,Convenience Store,33.755585,-84.381088,,,-9393259.748742407,3996030.089488939
1564175,Lowery Food Mart N/A,644 Joseph E Lowery Blvd NW,,Atlanta,GA,30318,6600,FULTON,Convenience Store,33.772362,-84.417839,,,-9397350.851348551,3998276.6076158118
1565225,Circle K 26655984,160 Ted Turner Dr NW,,Atlanta,GA,30303,2030,FULTON,Convenience Store,33.759365,-84.390121,,,-9394265.297702743,3996536.210647366
1568215,Stop N Go Food Mart,225 Clifton St SE,,Atlanta,GA,30317,2122,DEKALB,Convenience Store,33.747082,-84.332245,,,-9387822.570853591,3994891.666222122
1568503,Mami Grocery & Deli,322 Glenn St SW,,Atlanta,GA,30312,2513,FULTON,Grocery Store,33.737988,-84.39846,,,-9395193.590936467,3993674.2418903946
1569433,Benz Food Mart,548 Northside Dr NW,Ste A,Atlanta,GA,30318,7004,FULTON,Convenience Store,33.769833,-84.405014,,,-9395923.178879127,3997937.934632007
